,Final consumption expenditure (current US$),Final consumption expenditure (% of GDP),GDP per capita (current US$),GDP per capita growth (annual %),GDP per capita growth (annual %)
1961,40421642700.4631,80.7514403960075,75.8058379259965,-26.5276436064275,-26.5276436064275
1962,40039808270.3713,84.81328514885558,70.90941166710071,-6.35150486427221,-6.35150486427221
1963,41201559834.2676,81.2545061283345,74.3136434486145,7.62225445983979,7.62225445983979
1964,43813469818.8317,73.37914143819309,85.4985551596313,15.468995419297901,15.468995419297901
1965,47063124543.0173,66.8166089965398,98.48677775222059,14.197889010176599,14.197889010176599
1966,50828661954.6673,66.251919309578,104.324566181147,7.60840393389294,7.60840393389294
1967,51819806645.5439,71.10132649648871,96.5895319417819,-8.16149758545772,-8.16149758545772
1968,51551710130.7986,72.7653230892724,91.4727183066072,-6.571451619824541,-6.571451619824541
1969,55219757900.7231,69.2793802874325,100.12990326618,13.779340343565302,13.779340343565302
1970,59294012511.1707,64.030354871255,113.16299155468599,16.050399292472598,16.050399292472598
1971,63282963685.1085,63.4091741625626,118.65457778534599,4.1591762059942905,4.1591762059942905
1972,73239499354.149,64.4217207334274,131.883561243868,1.2901059690866998,1.2901059690866998
1973,88031567306.7256,63.540381684928505,157.090374298657,5.327293014737509,5.327293014737509
1974,92270038751.7846,63.995473352901705,160.140093727686,0.21800566494492601,0.21800566494492601
1975,101484030540.91801,62.0957394308274,178.34181960809602,6.816440509199411,6.816440509199411
1976,101447409086.226,65.9004216020879,165.40554037241998,-3.08132198597882,-3.08132198597882
1977,110765421466.25,63.3169230769231,185.42283291367298,6.11400167387856,6.11400167387856
1978,90767640317.0732,60.6975948694756,156.396388520044,9.656892989503481,9.656892989503481
1979,112098076047.82599,62.8773290872676,183.983152215978,6.17422407521096,6.17422407521096
1980,123618933925.0,64.6714328070856,194.80472218683602,6.463001267104451,6.463001267104451
1981,130052408317.46,66.3985349105291,197.07147449910198,3.83379711765011,3.83379711765011
1982,136472886171.756,66.5430230117498,203.33491950346402,7.34193134560238,7.34193134560238
1983,155539512708.81198,67.4245549985928,225.431928890812,9.24521635440844,9.24521635440844
1984,170872614096.42902,65.7337594058341,250.71396904698798,13.638334195262301,13.638334195262301
1985,201290559911.565,65.0398534399163,294.45884850496003,11.909108399730599,11.909108399730599
1986,194984738420.29,64.83108463272009,281.928120911563,7.331332018477581,7.331332018477581
1987,171270541973.094,62.7426733803252,251.811956961329,9.912166137702071,9.912166137702071
1988,193889864565.844,62.0738308103236,283.537695240524,9.45790115220633,9.45790115220633
1989,223346519248.988,64.2228400241341,310.8819124049,2.60070410742381,2.60070410742381
1990,229473006288.719,63.590958739687004,317.884673040928,2.39361245948719,2.39361245948719
1991,237180339142.857,61.8666787580459,333.142145400184,7.81295779019754,7.81295779019754
1992,254710675270.01602,59.6629891302114,366.46069230207297,12.824945473561499,12.824945473561499
1993,259268124002.344,58.2977034090715,377.38983947995797,12.5660279957052,12.5660279957052
1994,328033994840.289,58.1285937467255,473.492278718042,11.781568694182802,11.781568694182802
1995,433471718536.171,59.012042589228706,609.6566792024839,9.750279001358019,9.750279001358019
1996,518230978822.97797,59.9980258472825,709.413755085039,8.78218488287077,8.78218488287077
1997,573097604399.3821,59.598091567755496,781.744164341053,8.11854811854754,8.11854811854754
1998,621569837592.25,60.402702187075604,828.580479295681,6.8078063193135,6.8078063193135
1999,683976898410.302,62.52089642933579,873.2870617257901,6.73927002727235,6.73927002727235
2000,769082386207.48,63.489856250515096,959.372483639691,7.6400016553426,7.6400016553426
2001,828148208899.2521,61.8299877500605,1053.1082430045199,7.55580167175542,7.55580167175542
2002,894867164732.391,60.85254874399939,1148.5082904417,8.40191506145082,8.40191506145082
2003,960650837785.43,57.860495146214,1288.64325183381,9.35236426173533,9.35236426173533
2004,1076333938065.44,55.0456740073946,1508.6680978826598,9.459175050314881,9.459175050314881
2005,1238028510171.7,54.1577857442696,1753.41782925823,10.742552314170402,10.742552314170402
2006,1438891250356.18,52.282789083242704,2099.22943460447,12.0918362716474,12.0918362716474
2007,1790725591204.73,50.438109250393296,2693.9698268348498,13.636344857516502,13.636344857516502
2008,2266125838782.79,49.324651430125996,3468.3044632474703,9.0938721024024,9.0938721024024
2009,2528446392456.89,49.5608363231767,3832.2359515672706,8.857029818803882,8.857029818803882
2010,2939279788049.27,48.2865178821521,4550.45359583857,10.103100723313,10.103100723313
2011,3730125830444.94,49.395823614082204,5618.13249134962,9.027255944571609,9.027255944571609
2012,4294992956583.18,50.338453042890606,6316.91886335683,7.33538000995731,7.33538000995731
2013,4847441926414.67,50.6503281952067,7050.64591988963,7.23786251543072,7.23786251543072
2014,5344151670084.97,51.1964050838276,7651.36604428568,6.757622019995639,6.757622019995639
2015,5817206169409.88,52.8090763330058,8033.388043106791,6.363469300075611,6.363469300075611
2016,6018663507714.65,54.037465133959294,8078.790474372379,6.16028102541586,6.16028102541586
2017,6467893708942.42,53.2622247608084,8759.04157775098,6.1617720043005395,6.1617720043005395
2018,,,9770.84708783314,6.11511707222505,6.11511707222505
