,date,platts_hydroxide_prices
0,2019-05-06,15000.0
1,2019-05-28,14200.0
2,2019-06-03,13900.0
3,2019-06-10,13900.0
4,2019-06-17,13500.0
5,2019-07-01,13000.0
6,2019-07-08,13000.0
7,2019-07-15,13000.0
8,2019-07-22,12900.0
9,2019-07-29,12700.0
10,2019-08-05,12500.0
11,2019-08-12,12500.0
12,2019-08-19,12500.0
13,2019-08-27,11800.0
14,2019-09-02,11700.0
15,2019-09-16,11700.0
16,2019-09-23,11700.0
17,2019-09-30,11700.0
18,2019-10-07,11700.0
19,2019-10-14,11700.0
20,2019-10-21,11700.0
21,2019-10-28,11500.0
22,2019-11-04,11500.0
23,2019-11-11,11500.0
24,2018-09-14,18500.0
25,2018-09-21,18500.0
26,2018-09-28,18300.0
27,2018-10-05,18000.0
28,2018-10-19,18000.0
29,2018-10-26,18000.0
30,2018-11-02,17800.0
31,2018-11-16,16800.0
32,2018-11-23,16000.0
33,2018-12-07,16000.0
34,2018-12-21,16000.0
35,2018-12-28,16000.0
36,2019-01-04,16000.0
37,2019-01-11,16000.0
38,2019-01-18,15800.0
39,2019-01-25,15800.0
40,2019-02-01,15800.0
41,2019-02-08,15600.0
42,2019-02-22,15400.0
43,2019-04-15,15000.0
44,2019-04-22,15000.0
45,2019-05-13,14800.0
