,Lithium,LME Ni cash price,LME Co cash price,LME Cu cash price,LME Al cash price
2018-01,100.0,100.0,100.0,100.0,100.0
2018-02,96.7635618950168,105.73909213639679,104.64994333101026,99.07431799982479,98.64578828386082
2018-03,103.53932865341052,104.10807023939995,113.83625445816317,96.0652957382246,93.38753417802957
2018-04,100.71413218128815,108.14695104987608,117.76047370649384,96.76640330736481,101.36496391361736
2018-05,108.09257005258863,111.72054836672638,116.8296340098414,96.51426402079238,104.02201690583841
2018-06,101.18661285764469,117.48109045204141,105.16222483023606,98.49926257492544,101.17011616913328
2018-07,96.12886175779116,107.27890760707551,91.50937902178636,88.38743788645651,94.144856765016
2018-08,105.68342193164251,104.27920140735172,82.02327300373804,85.58842832177773,92.79732651857675
2018-09,105.10564340647178,97.29664705718254,80.58048615657536,85.55955599479267,91.62303420483586
2018-10,108.78725889494983,95.77667674615002,78.52933764158448,87.94678331383919,91.77658737959506
2018-11,110.67976022866806,87.41455449526335,71.19300158775565,87.61213203624554,87.64647407831015
2018-12,110.03144264747054,84.2423325339066,71.54941834251669,85.71340743520331,86.72931468636206
2019-01,113.75073549608307,89.30782945074564,53.52931652270631,83.98673271618125,83.8303518773344
2019-02,113.75073549608307,98.65670102482731,41.57884733162974,89.09074072081681,84.23179182229212
2019-03,113.75073549608307,101.30913725958575,40.58579074946205,91.05591322251352,84.60375186048472
2019-04,113.75073549608307,99.20705049960263,43.568885620795825,91.06911235985983,83.46989652769092
2019-05,113.75073549608307,93.6068122316517,44.23701013002189,85.17205816578878,80.49341458620013
2019-06,113.75073549608307,92.89149155783389,37.31604401174209,83.17638632510686,79.39227442500491
2019-07,111.90863073746648,105.35356669154835,35.41368362512583,84.01024863861254,81.24778848044033
2019-08,111.90863073746648,122.47273163784777,39.15388558559769,80.67117628376606,78.70914273459978
2019-09,111.90863073746648,137.32272191861128,46.26835657918423,81.43748376556009,79.28204012094321
2019-10,111.90863073746648,134.62520516532965,45.480403189554,80.47402478635313,77.84517256873264
